meter_id,selected_model,wape,mae,number_of_folds,selection_reason
M0034,holt_winters,0.04029347570066016,0.2011011026490896,2,lowest_mean_wape
M0035,seasonal_naive,0.10535022329218274,0.5779524663844346,2,lowest_mean_wape
M0036,sarimax,0.06718852379859086,1.0616380866571578,2,lowest_mean_wape
M0037,seasonal_naive,0.06901035117854921,0.5693263942866439,2,lowest_mean_wape
M0038,sarimax,0.06166192994640453,0.4324921733863916,2,lowest_mean_wape
M0039,sarimax,0.03488715231723056,0.45796889346416253,2,lowest_mean_wape
M0040,sarimax,0.08483942990194099,0.9360248905672852,2,lowest_mean_wape
M0041,sarimax,0.08100893317625985,1.255389817006919,2,lowest_mean_wape
M0042,holt_winters,0.09643240814825552,1.2404747928319555,2,lowest_mean_wape
M0043,holt_winters,0.07730251149549136,1.1050731832192082,2,lowest_mean_wape
M0044,sarimax,0.07867665331774538,0.794049448262552,2,lowest_mean_wape
M0045,holt_winters,0.08826801025557893,1.4529736065812733,2,lowest_mean_wape
M0046,sarimax,0.09781209338840335,1.1780765450818198,2,lowest_mean_wape
M0047,seasonal_naive,0.04894452759100755,0.3006209789160999,2,lowest_mean_wape
M0048,sarimax,0.10857490123502733,1.3448851655859715,2,lowest_mean_wape
M0049,sarimax,0.04969791851763095,0.3990565245100368,2,lowest_mean_wape
M0050,seasonal_naive,0.0451290336785041,0.4311455940132962,2,lowest_mean_wape
M0051,seasonal_naive,0.04494404275841914,0.36628086784741254,2,lowest_mean_wape
M0052,holt_winters,0.06485919759889186,0.23517931778293147,2,lowest_mean_wape
M0053,sarimax,0.06054341750099884,1.1289308126356885,2,lowest_mean_wape
M0054,seasonal_naive,0.08058920122069625,0.2465167604179888,2,lowest_mean_wape
M0055,holt_winters,0.05683328614784031,0.9354061898108215,2,lowest_mean_wape
M0056,seasonal_naive,0.05986172363601917,0.4581959213960415,2,lowest_mean_wape
M0057,sarimax,0.08474451114638772,1.1291692752491385,2,lowest_mean_wape
M0058,sarimax,0.07815397105059972,0.34354226483400097,2,lowest_mean_wape
M0059,sarimax,0.03834450400256989,0.20378573611171716,2,lowest_mean_wape
M0060,sarimax,0.058847121926706214,0.675387158512742,2,lowest_mean_wape
M0061,holt_winters,0.11277147462607216,1.6504392803933232,2,lowest_mean_wape
M0062,seasonal_naive,0.03839418059282379,0.703312485098063,2,lowest_mean_wape
M0063,holt_winters,0.07557691517520179,1.3366220426962592,2,lowest_mean_wape
M0064,seasonal_naive,0.10510341870281245,1.3370971360046482,2,lowest_mean_wape
M0065,sarimax,0.08424306890686416,0.7458651676102499,2,lowest_mean_wape
M0066,sarimax,0.04143583146446035,0.34452470973321525,2,lowest_mean_wape
M0067,sarimax,0.06364001570213404,0.7611070398013546,2,lowest_mean_wape
M0068,seasonal_naive,0.047745180617170535,0.18086024402551465,2,lowest_mean_wape
M0069,holt_winters,0.045423012099876967,0.29805103439073105,2,lowest_mean_wape
M0070,holt_winters,0.039291686636579164,0.33130869669079066,2,lowest_mean_wape
M0071,seasonal_naive,0.10297106714185422,0.4251952420548649,2,lowest_mean_wape
M0072,sarimax,0.10692654078174628,1.2406356489630261,2,lowest_mean_wape
M0073,sarimax,0.07949954253123151,0.23839778004766157,2,lowest_mean_wape
M0074,seasonal_naive,0.09301926283831417,0.12448198527636786,2,lowest_mean_wape
M0075,sarimax,0.0880772185421625,0.4872145729964912,2,lowest_mean_wape
M0076,sarimax,0.05123830186241656,0.8272489787009767,2,lowest_mean_wape
M0077,sarimax,0.07021281829124411,0.1872923502281058,2,lowest_mean_wape
M0078,sarimax,0.05939746524666538,0.7465650103513188,2,lowest_mean_wape
M0079,seasonal_naive,0.058683360562456585,0.7190025117252561,2,lowest_mean_wape
M0080,sarimax,0.07607757655400865,0.8385142914314083,2,lowest_mean_wape
M0081,seasonal_naive,0.05064771153746251,0.5393973102180935,2,lowest_mean_wape
M0082,sarimax,0.12090497980956535,0.29831622338533725,2,lowest_mean_wape
M0083,seasonal_naive,0.06308457142414733,0.6094006112827581,2,lowest_mean_wape
M0084,sarimax,0.07954527429448802,0.5810467765621574,2,lowest_mean_wape
M0085,holt_winters,0.07757604419049556,0.14117873834073977,2,lowest_mean_wape
M0086,sarimax,0.06976008825572856,0.16279080264089849,2,lowest_mean_wape
M0087,seasonal_naive,0.08936393159199932,0.16838624865371565,2,lowest_mean_wape
M0088,sarimax,0.07726461182363673,0.7496632440965179,2,lowest_mean_wape
M0089,seasonal_naive,0.12918810344666376,1.9073963770664135,2,lowest_mean_wape
M0090,sarimax,0.1431782787534968,0.6199133042093745,2,lowest_mean_wape
M0091,sarimax,0.11019400993942378,0.6335747276838084,2,lowest_mean_wape
M0092,holt_winters,0.08365463521432245,1.032624116110006,2,lowest_mean_wape
M0093,sarimax,0.10323482143484142,0.45025978783009424,2,lowest_mean_wape
M0094,sarimax,0.04530846693825857,0.35959963786463567,2,lowest_mean_wape
M0095,seasonal_naive,0.09388227050084037,1.0791956091964692,2,lowest_mean_wape
M0096,seasonal_naive,0.08429525997370409,1.1434978566088942,2,lowest_mean_wape
M0097,sarimax,0.08818212840895975,0.4049415510244505,2,lowest_mean_wape
M0098,seasonal_naive,0.10627963675904493,0.7252682765522364,2,lowest_mean_wape
M0099,sarimax,0.09527925073048085,0.29555980817830063,2,lowest_mean_wape
M0100,seasonal_naive,0.09840925902416006,1.3179292769638005,2,lowest_mean_wape
